title,title_en,authors,source,path,download_link,article_url
عوض القوزي وقضايا المصطلح النحوي,Awad Al Qawzi and the issues of the grammatical term,"[""Ibrahem Humaidan Al- Mutairi""]",ajsrp,./ajsrp/3414-3254.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3414/3254,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3414
فاعلية أنموذج لاندا في تنمية مهارات التفكير الابتكاري واكتساب المفاهيم الفقهية لدى طالبات الصف العاشر الأساسي في الأردن,The Effectiveness of the Landa Model on the Development of Innovative Thinking Skills and the Acquisition of Jurisprudential Concepts Among the Students of the Tenth Grade in Jordan,"[""Yaseen Ali Al- Maqosi""]",ajsrp,./ajsrp/3415-3255.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3415/3255,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3415
العجائبي في قصص الأنبياء كتاب عرائس المجالس للثعلبي ت هـ أنموذجاً,The Miraculous in The Stories of Prophets 427,"[""Sherefah Ibrahim Bintaleb""]",ajsrp,./ajsrp/3416-3256.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3416/3256,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3416
فاعلية برنامج تعليمي مستند إلى تعليل الأحكام وتجسيد الأفكار في اكتساب المفاهيم الفقهية وتنمية مهارات التفكير المنطقي لدى طلاب المرحلة الثانوية في دولة الكويت,The Effectiveness of Educational Program based on Explanation of Judgments and the Embodiment of Ideas in Acquisition of Jurisprudential Concepts and Developing Logical Thinking Skills among Secondary Stage Male Students in the State of Kuwait,"[""Frahan Ibrahim Al- Shammary, Yaseen Ali Al- Maqosi""]",ajsrp,./ajsrp/3108-2941.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3108/2941,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3108
انعكاسات كورونا على الشعر العربي المعاصر قصيدة جائحة كورونا للشاعر هاشم البشير نموذجاً,Coronas Reflections on Contemporary Arabic Poetry Corona Pandemic Poem by Hashem AlBashir As a model,"[""Salih Shuaib Salih, Maha Ahmed Ismail""]",ajsrp,./ajsrp/3109-2942.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3109/2942,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3109
استخدام المرأة الأردنية للبرامج الوثائقية والإشباعات المتحققة منها قناتي الجزيرة الوثائقية وناشيونال جيوغرافيك أبو ظبي أنموذجاً,Jordanian womens use of documentary programs and the fulfilment gained from them AlJazeera Documentary Channels and National Geographic Abu Dhabi as examples,"[""Odai Ahmad Qaqish, Mohammad Hashem Al-Momani""]",ajsrp,./ajsrp/3110-3015.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3110/3015,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3110
نظرية اللسانيات النسبية والنحو العربي القديم,Relative linguistics theory and ancient Arabic grammar,"[""Ryhanah Abdullah Al-Ansary""]",ajsrp,./ajsrp/3111-2944.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3111/2944,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3111
نحو تدريس لسانيات عربية معاصرة بين التَّنظير والتطبيق,Towards Teaching Contemporary Arabic Linguistics between Theorizing and Application,"[""Sahli Djelloul, Khaldi Hicham""]",ajsrp,./ajsrp/3116-2945.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3116/2945,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3116
الكفايات ودورها في تدريس العلوم الإنسانيّة تعلّميّة التّاريخ في البلاد التّونسيّة أنموذجا,Competencies and their Role in Teaching Human Sciences The Didactics of History in Tunisia as a model,"[""Ramzi Ben Mohamed Tej""]",ajsrp,./ajsrp/3112-2946.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3112/2946,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3112
إحياء الخلافة العباسية في القاهرة في ضوء النقوش الكتابية على النقود المملوكية هـ م,Revival of the Abbasid caliphate in Cairo In light of inscriptions on Mamluk coins 659 AH 1261CE 6591261,"[""Elshahat Anwar Barakat""]",ajsrp,./ajsrp/3113-3016.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/3113/3016,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/3113
